Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,@UNIQLO_UK @heartzeena Where is my order???  Terrible customer service.  Contacting my bank to stop payment.,https://twitter.com/KhaleesiKat/status/1697726142076141688
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,@UNIQLO_UK @heartzeena Does anyone EVER receive vouchers from this company? Or is it just to hook you in to buying after the first one when you open the app???,https://twitter.com/spackgear/status/1694639693571198998
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,@UNIQLO_UK @heartzeena Awesome Design,https://twitter.com/marketermamun28/status/1681744727018987520
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,"@hershkotecha @UNIQLO_UK @heartzeena So, swappsies not credit. Not standard thieving , eh. Did they do it in the end? They just dont seem to care.  I know returns cost billions , literally, but doing it in store is a cost saver, surely. And who tries to do an exchange on stolen goods?",https://twitter.com/dalemevans/status/1672522473454153728
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,@hershkotecha @UNIQLO_UK @heartzeena I will never enter a Uniqlo store ever again and I will be actively encouraging others to do the same. It won’t end well for this brand. Change or die.,https://twitter.com/PaulMarsha11/status/1666862930841698330
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,"@UNIQLO_UK @heartzeena Seriously-attend to the basics..see Trustpilot, Facebook reviews. A once brilliant store now universally rubbish at Customer Service, refusing to accept responsibility for faults, returns or incorrect deliveries-what a way to wreck a brand",https://twitter.com/dalemevans/status/1649049710509056006
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,"@UNIQLO_UK @heartzeena Ducks stabbed, geese crudely decapitated – help challenge cruelty for feathers. Stop using down.

https://t.co/NqelI5LvB1",https://twitter.com/Otualom/status/1647875076727922688
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,"@UNIQLO_UK Hi @UNIQLO_UK have now finally been promised a refund on the coat after 10 emails, sending photos, a video, packing the coat, taking the coat to a drop off centre 30 mins drive away, having to chase up after sending the coat as it had arrived but no one actioned a refund.",https://twitter.com/bridgetappleby/status/1640788089659604993
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,@UNIQLO_UK @heartzeena Hi @UNIQLO_UK  Just been told by your help centre that a broken zip in a very new coat is not a manufacturing error so they can’t help. Any thoughts? Zip just used in the normal way!,https://twitter.com/bridgetappleby/status/1633867782172602380
,"Discover Marbling - join us for a mindful marbling workshop with author, designer and influencer @heartzeena 🎨
https://t.co/Geqkh1mMzI",134,10,2022-09-05 09:22:02+00:00,21,1,0,0,0,True,https://twitter.com/UNIQLO_UK/status/1566718285038723073,@UNIQLO_UK @heartzeena @UNIQLO_UK  I have had very bad experience with my orders with Uniqlo this past month. Major delays and now no update for my refund of the returned order since the 13th of December. I understand it’s holiday season but this is more than that. Disappointed.,https://twitter.com/Mansikala/status/1609124720812920834
